2353
Grain_ID,Active,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumCells,NumNeighbors,Omega3s,ParentIds,Phases,SurfaceFields,Volumes
1,1,0.970938,0.542336,0.244183,0.290017,-0.0781895,0.922037,4.28377,2.64625,4.75629,3.20566,3.11249,1.73855,30.7739,8.49271,23.7992,5.09112,0.786391,0.777699,5.3276,4422,20,0.777479,2557,1,0,69.0938
2,1,0.677904,0.452488,0.298805,-0.315712,-0.0754903,0.897409,1.06373,1.29258,2.02899,0.809611,0.548839,0.36634,3.53846,13.0256,18.0321,1.05187,5.38636,0.899396,0.728981,39,4,0.570104,2085,1,0,0.609375
3,1,0.549839,0.287927,0.277009,-0.0852498,0.211023,0.933525,2.18747,1.03654,4.59307,1.31108,0.720883,0.377495,42.8554,26.3524,14.2018,1.35301,6.20695,0.588098,0.520867,83,4,0.492058,176,1,0,1.29688
4,1,0.611052,0.336561,-0.216368,0.241986,0.109536,0.939484,2.5172,0.424092,6.28319,3.08104,1.88268,1.03696,18.2904,40.8306,6.62975,3.54983,2.41643,0.6612,4.09889,1499,14,0.694206,2793,1,0,23.4219
5,1,0.643618,0.132923,0.110361,-0.211523,0.206886,0.948829,4.71239,1.5708,6.17372,0.99268,0.638906,0.13195,17.5,44.125,9.0875,0.841945,5.40797,0.481811,1.30459,20,2,0.563003,1653,1,0,0.3125
6,1,0.539012,0.190092,0.136385,0.0913642,-0.269712,0.948845,5.20064,2.45716,0,6.08616,3.28051,1.15693,42.6967,23.8857,18.0763,5.5091,0.31329,0.329811,5.416,5603,26,0.606466,376,1,0,87.5469
7,1,0.731929,0.487892,0.149328,-0.041891,-0.00629113,0.98788,2.23048,3.00502,6.28319,2.95131,2.16015,1.43992,37.7801,6.45763,13.6247,4.03839,6.00332,0.311443,0.267132,2207,240,0.580086,1049,1,0,34.4844
8,1,0.695571,0.457631,0.306878,-0.107927,-0.090706,0.941249,2.0752,1.48205,1.60795,3.31914,2.3087,1.51894,44.5517,3.72339,9.18654,4.43894,5.84893,0.662664,0.242112,2931,13,0.731266,2404,1,0,45.7969
9,1,0.840837,0.762104,0.145274,-0.306343,-0.27368,0.900083,4.54447,1.50954,6.1881,2.02916,1.70619,1.54643,23.7487,29.2193,13.9242,3.44409,4.86002,0.691801,0.832806,1369,14,0.789383,1357,1,0,21.3906
10,1,0.665553,0.624846,0.219454,0.270827,0.064184,0.935079,3.66142,3.07303,3.14159,3.20503,2.13312,2.00265,4.97625,10.7217,10.1857,4.65447,0.958332,0.71211,5.46192,3379,22,0.661221,521,1,0,52.7969
11,1,0.553582,0.23149,-0.332894,0.0438718,0.128667,0.933114,2.25426,0.688748,0,2.10301,1.16419,0.486827,31.637,27.9457,23.5827,2.03162,3.14758,0.684849,3.40965,281,13,0.526005,2046,1,0,4.39062
12,1,0.905986,0.364756,-0.122678,0.122797,-0.226142,0.958505,1.22684,1.87898,2.70109,2.25068,2.03908,0.820947,36.5329,11.8143,1.87247,2.98358,2.12402,0.348921,3.69578,890,12,0.531244,2296,1,0,13.9062
13,1,0.505683,0.490728,-0.296736,-0.235411,-0.155859,0.912271,1.85858,0.877695,5.68405,2.09196,1.05787,1.02658,21.2443,38.0148,0.665794,2.57627,3.64304,0.776943,2.30172,573,13,0.73711,1307,1,1,8.95312
14,1,0.642309,0.408142,0.150721,0.151929,0.144922,0.966022,0.512746,1.07816,1.66285,1.43248,0.920092,0.584653,38.9643,32.7088,11.0934,1.75778,0.938296,0.431352,5.64271,182,12,0.530801,1105,1,0,2.84375
15,1,0.722065,0.38537,-0.28732,-0.188644,0.10083,0.933645,5.04857,0.411296,2.52505,1.02642,0.741144,0.395553,36.8267,7.90333,23.2267,1.30806,3.83015,0.701738,2.6682,75,8,0.694699,922,1,0,1.17188
16,1,0.453479,0.295492,0.303471,-0.212628,-0.104822,0.92288,0.210931,1.30695,1.4247,1.06876,0.48466,0.31581,38.6908,36.8289,24.7895,1.0428,5.55892,0.759196,0.498069,38,4,0.488488,1128,1,0,0.59375
